protocolType	typeId	subsystemId	controllable	widget	type	uiClass	localPairing
1	4518992791207938	0	io:HorizontalAwningIOComponent	PositionableHorizontalAwning	1	Awning	1
1	4521191813611522	0	io:VerticalExteriorAwningIOComponent	PositionableScreen	1	ExteriorScreen	1
1	4520092302835714	0	io:HorizontalAwningIOComponent	PositionableHorizontalAwning	1	Awning	1
1	4522291325239298	0	io:VerticalExteriorAwningIOComponent	PositionableScreen	1	ExteriorScreen	1
1	4521191814463490	0	io:HorizontalAwningIOComponent	PositionableHorizontalAwning	1	Awning	1
1	4523390836867074	0	io:VerticalExteriorAwningIOComponent	PositionableScreen	1	ExteriorScreen	1
1	4522291326091266	0	io:HorizontalAwningIOComponent	PositionableHorizontalAwning	1	Awning	1
1	4524490348494850	0	io:VerticalExteriorAwningIOComponent	PositionableScreen	1	ExteriorScreen	1
1	4523390837719042	0	io:HorizontalAwningIOComponent	PositionableHorizontalAwning	1	Awning	1
1	4525589860122626	0	io:VerticalExteriorAwningIOComponent	PositionableScreen	1	ExteriorScreen	1
1	4524490349346818	0	io:HorizontalAwningIOComponent	PositionableHorizontalAwning	1	Awning	1
1	4526689371750402	0	io:VerticalExteriorAwningIOComponent	PositionableScreen	1	ExteriorScreen	1
1	4525589860974594	0	io:HorizontalAwningIOComponent	PositionableHorizontalAwning	1	Awning	1
1	4527788883378178	0	io:VerticalExteriorAwningIOComponent	PositionableScreen	1	ExteriorScreen	1
1	4526689372602370	0	io:HorizontalAwningIOComponent	PositionableHorizontalAwning	1	Awning	1
1	0	0	io:UnknownIOComponent	IOGeneric	1	Generic	1
1	267	1	io:KizOThermIOComponent	KizOThermBridge	1	HeatingSystem	0
1	267	2	io:KizOThermRoomTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	267	3	io:KizOThermBoilerTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	267	4	io:KizOThermDHWTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	267	5	io:KizOThermOutsideTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	65536	0	io:VenetianBlindIOComponent	PositionableVenetianBlind	1	VenetianBlind	1
1	131072	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	131073	0	io:RollerShutterVeluxIOComponent	PositionableTiltedRollerShutter	1	RollerShutter	1
1	131074	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
