SubProfile ,Class ,Type ,SubType ,Profile ,SoftwareVersion
        01 ,   00 ,  12 ,     02 ,     52 ,ccccccc6{0,1}
        01 ,   00 ,  12 ,     03 ,     52 ,ccccccc6{0,2}
        01 ,   00 ,  12 ,     04 ,     52 ,ccccccc8{0,0}
        01 ,   00 ,  12 ,     05 ,     52 ,ccccccc6{0,3}
        02 ,   00 ,  02 ,     01 ,     06 ,5135669???
        58 ,   00 ,  02 ,     00 ,     07 ,5101985A??
        58 ,   00 ,  02 ,     00 ,     07 ,5101985B??
        58 ,   00 ,  02 ,     00 ,     07 ,5101985C??
        58 ,   00 ,  02 ,     00 ,     07 ,5101985D??
        58 ,   00 ,  02 ,     00 ,     07 ,5101985E??
        58 ,   00 ,  02 ,     00 ,     07 ,5101985F00
        58 ,   00 ,  02 ,     00 ,     07 ,5101985F01
        58 ,   00 ,  02 ,     00 ,     07 ,5101985F02
        58 ,   00 ,  02 ,     00 ,     07 ,5101985F03
        58 ,   00 ,  02 ,     00 ,     07 ,5101985F04
        58 ,   00 ,  02 ,     00 ,     07 ,5102007A??
        58 ,   00 ,  02 ,     00 ,     07 ,5102007B??
        58 ,   00 ,  02 ,     00 ,     07 ,5102007C??
        58 ,   00 ,  02 ,     00 ,     07 ,5102007D??
        58 ,   00 ,  02 ,     00 ,     07 ,5102007E??
        58 ,   00 ,  02 ,     00 ,     07 ,5102007F??
        58 ,   00 ,  02 ,     00 ,     07 ,5102007G00
        58 ,   00 ,  02 ,     00 ,     07 ,5102007G01
        58 ,   00 ,  02 ,     00 ,     07 ,5102007G02
        58 ,   00 ,  02 ,     00 ,     07 ,5102007G03
        58 ,   00 ,  02 ,     00 ,     07 ,5102007G04
        58 ,   00 ,  02 ,     00 ,     07 ,5102007G05
        58 ,   00 ,  02 ,     00 ,     07 ,5107456A??
        58 ,   00 ,  02 ,     00 ,     07 ,5107456B??
        58 ,   00 ,  02 ,     00 ,     07 ,5107456C??
        58 ,   00 ,  02 ,     00 ,     07 ,5107456D??
        58 ,   00 ,  02 ,     00 ,     07 ,5107456E??
        58 ,   00 ,  02 ,     00 ,     07 ,5107456F??
        58 ,   00 ,  02 ,     00 ,     07 ,5107456G00
        58 ,   00 ,  02 ,     00 ,     07 ,5107456G01
        58 ,   00 ,  02 ,     00 ,     07 ,5107456G02
        58 ,   00 ,  02 ,     00 ,     07 ,5107456G03
        58 ,   00 ,  02 ,     00 ,     07 ,5107456G04
        58 ,   00 ,  02 ,     00 ,     07 ,5112334A??
        58 ,   00 ,  02 ,     00 ,     07 ,5112334B??
        58 ,   00 ,  02 ,     00 ,     07 ,5112334C??
        58 ,   00 ,  02 ,     00 ,     07 ,5112334D??
        58 ,   00 ,  02 ,     00 ,     07 ,5112334E??
        58 ,   00 ,  02 ,     00 ,     07 ,5112334F??
        58 ,   00 ,  02 ,     00 ,     07 ,5112334G00
        58 ,   00 ,  02 ,     00 ,     07 ,5112334G01
        58 ,   00 ,  02 ,     00 ,     07 ,5112334G02
        58 ,   00 ,  02 ,     00 ,     07 ,5112334G03
        58 ,   00 ,  02 ,     00 ,     07 ,5112334G04
        58 ,   00 ,  02 ,     00 ,     07 ,5112334G05
        58 ,   00 ,  02 ,     00 ,     07 ,5140784A00
        58 ,   00 ,  02 ,     01 ,     05 ,5134086???
        58 ,   00 ,  02 ,     01 ,     06 ,5113142???
        58 ,   00 ,  02 ,     01 ,     06 ,5133033???
        58 ,   00 ,  02 ,     01 ,     07 ,5101985???
        58 ,   00 ,  02 ,     01 ,     21 ,5124182???
        58 ,   00 ,  02 ,     02 ,     05 ,5105491???
        58 ,   00 ,  02 ,     02 ,     06 ,5154604???
        58 ,   00 ,  02 ,     02 ,     07 ,5140784???
        58 ,   00 ,  02 ,     03 ,     05 ,5153331???
        58 ,   00 ,  02 ,     03 ,     07 ,5102007???
        58 ,   00 ,  02 ,     04 ,     05 ,5153439???
        58 ,   00 ,  02 ,     04 ,     07 ,5112334???
        58 ,   00 ,  02 ,     05 ,     05 ,5156018???
        58 ,   00 ,  02 ,     05 ,     07 ,5107456???
        58 ,   00 ,  02 ,     06 ,     05 ,5143939???
        58 ,   00 ,  02 ,     06 ,     05 ,5143939???
        58 ,   00 ,  02 ,     06 ,     07 ,5134085???
        58 ,   00 ,  02 ,     07 ,     07 ,5153765???
