protocolType	typeId	name
1	4644337115856898	S&SO - RS100 ioHybrid
1	4645436627484674	S&SO - RS100 ioHybrid
1	4646536139112450	S&SO - RS100 ioHybrid
1	4647635650740226	S&SO - RS100 ioHybrid
1	4648735162368002	S&SO - RS100 ioHybrid
1	4649834673995778	S&SO - RS100 ioHybrid
1	4650934185623554	S&SO - RS100 ioHybrid
1	4652033697251330	S&SO - RS100 ioHybrid
1	4653133208879106	S&SO - RS100 ioHybrid
1	4654232720506882	S&SO - RS100 ioHybrid
1	4655332232134658	S&SO - RS100 ioHybrid
1	4656431743762434	S&SO - RS100 ioHybrid
1	4657531255390210	S&SO - RS100 ioHybrid
1	4658630767017986	S&SO - RS100 ioHybrid
1	4659730278645762	S&SO - RS100 ioHybrid
1	4660829790273538	S&SO - RS100 ioHybrid
1	4661929301901314	Solus io
1	4663028813529090	Solus io
1	4664128325156866	Solus io
1	4511296208961538	Sunea Screen 40 io
1	4504699140046850	Sunea Screen 40 io
1	4512395720589314	Sunea Screen 40 io
1	4505798651674626	Sunea Screen 40 io
1	4513495232217090	Sunea,Sunea Screen
1	4506898163302402	Sunea,Sunea Screen
1	4507997674930178	Sunea,Sunea Screen
1	4514594743844866	Sunea,Sunea Screen
1	4509097186557954	Sunea,Sunea Screen
1	4515694255472642	Sunea,Sunea Screen
1	4510196698185730	Sunea,Sunea Screen
1	4511296209813506	Sunea,Sunea Screen
1	4516793767100418	Sunea,Sunea Screen
1	4512395721441282	Sunea,Sunea Screen
1	4517893278728194	Sunea,Sunea Screen
1	4513495233069058	Sunea,Sunea Screen
1	4518992790355970	Sunea,Sunea Screen
1	4514594744696834	Sunea,Sunea Screen
1	4515694256324610	Sunea,Sunea Screen
1	4516793767952386	Sunea,Sunea Screen
1	4517893279580162	Sunea,Sunea Screen
1	4520092301983746	Sunea,Sunea Screen
1	4518992791207938	Sunea,Sunea Screen
1	4521191813611522	Sunea,Sunea Screen
1	4520092302835714	Sunea,Sunea Screen
1	4522291325239298	Sunilus,Sunilus Screen io
1	4521191814463490	Sunilus,Sunilus Screen io
1	4523390836867074	Sunilus,Sunilus Screen io
1	4522291326091266	Sunilus,Sunilus Screen io
1	4524490348494850	Sunilus,Sunilus Screen io
1	4523390837719042	Sunilus,Sunilus Screen io
1	4525589860122626	Sunilus,Sunilus Screen io
1	4524490349346818	Sunilus,Sunilus Screen io
1	4526689371750402	Sunilus,Sunilus Screen io
1	4525589860974594	Sunilus,Sunilus Screen io
1	4527788883378178	Sunilus,Sunilus Screen io
1	4526689372602370	Sunilus,Sunilus Screen io
1	0	Generic Product
1	267	KizOTherm Bridge
1	65536	Venetian Blind
1	131072	Roller Shutter
1	131073	Roller Shutter VELUX
1	131074	Roller Shutter SOMFY
1	131328	Adjustable Slats Roller Shutter
1	131330	Adj. Slats Roller Shutter SOMFY
1	131584	Projection Roller Shutter
1	196608	Vertical Exterior Awning
1	196609	Vertical Exterior Awning Velux
1	196610	Vertical Exterior Awning SOMFY
1	262144	Window Opener
1	262145	Window Opener VELUX
1	262401	Window Opener with integrated rain sensor VELUX
1	327680	Garage Door Opener
1	327682	Garage Door Opener SOMFY
1	342528	Discrete Garage Door Opener
1	342530	Discrete Garage Door Opener SOMFY
1	393216	Dimmable Light
1	393218	Dimmable Light - Somfy
1	393471	FirstInnov Swimming Pool
1	393472	Dimmable RGB Light
1	393474	Dimmable RGB Light Somfy
1	393730	Tunable White Receiver
1	408064	On/Off Light
1	408066	On/Off Light - Somfy
1	2199023663618	On/Off Light - Somfy  - With battery status
1	458752	Gate Opener
1	458754	Gate Opener Wardrobe SOMFY
1	473600	Discrete Gate Opener
1	473602	Discrete Gate Opener SOMFY
1	524288	Rolling Door Opener
1	524290	Rolling Door Opener SOMFY
1	589824	Door Lock
1	589826	Door Lock SOMFY
1	590080	Window Lock
1	590090	Window Lock SECUYOU
1	590336	Car Controller
1	655360	Vertical Blind
1	655361	Blind VELUX
1	655362	Sonesse 40
1	851968	Dual Roller Shutter
1	917504	Heating Temperature Interface
1	983040	Switch On/Off
1	983552	Switch On/Off - micromodule
1	983554	Light On/Off - micromodule SOMFY
1	1048576	Horizontal Awning
1	1048832	Pergola Rail Guided Awning
1	2199023648770	Dimmable Light - micromodule SOMFY
1	1048834	Pergola Rail Guided Awning SOMFY
1	1114112	Exterior Venetian Blind
1	1179648	Louver Blind
1	1245184	Curtain track
1	1310720	Ventilation point
1	1310976	Ventilation Inlet
1	1311232	Ventilation Transfer
1	1311488	Ventilation Outlet
1	1376256	Exterior Heating
1	1376258	Exterior Heating SOMFY
1	1391106	Discrete Exterior Heating SOMFY
1	1441792	Heat Pump
1	1442060	Pass APC Heat Pump (Atlantic)
1	1442316	Pass APC Boiler (Atlantic)
1	1507328	Alarm System
1	1572864	Swinging Shutters
1	1572866	Swinging Shutter Somfy
1	1587714	Discrete Swinging Shutter Somfy
1	1573120	Independant Swinging Shutters
1	1769472	Sliding Window
1	1769730	Sliding Window with lock SOMFY
1	1835020	Pass APC Zone Control (Atlantic)
1	1900544	Bioclimatic Pergola
1	1900546	Bioclimatic Pergola Somfy
1	1966080	Siren
1	1966082	Indoor Siren SOMFY
1	3342348	Domestic hot water production (Atlantic V2)
1	3407872	Electrical heater
1	3407884	Electrical heater (Atlantic)
1	3408128	Electrical heater with adjustable temperature setpoint
1	3408140	Electrical heater with adjustable temperature setpoint (Atlantic)
1	3473420	Heat Recovery Ventilation (Atlantic)
1	16711691	Gateway RSOverkiz
1	4295032832	Light Inside Sensor
1	4295098368	Temperature Inside Sensor
1	4295163904	Temperature Outside Sensor
1	4295229440	Wind Sensor
1	4295360512	Sun Energy Outside Sensor
1	4295426048	Relative Humidity Inside Sensor
