TypeNumber;TypeName;SubTypeName;TypeRegex;SubTypeRegex;Protocols
17;KizBoxTCPAP; ;`^T-02[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
18;TahomaHitachi; ;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
19;RexelEnergeasyConnect; ;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
20;VerisureAlarmSystem; ;`^VSURE-[0-9]{2}-*`; ;VERISURE
21;KizBoxMini433Mhz; ;`^04[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;CAMERA, EN_OCEAN, HUE, INTERNAL, KNX, RAMSES, RTD, RTDS, RTN, RTS, ZIGBEE, ZWAVE
22;HitachiHLinkWifiGateway; ;`^05[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;HLRR_WIFI
23;SWFHomeAutomationBridge; ;`^06[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;IO_SWF
24;KizBoxV2; ;`^11[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;CAMERA, HUE, INTERNAL, KNX, RTD, RTDS, RTS, SONOS, UPNP_CONTROL, ZWAVE
25;MyFoxAlarmSystem; ;`^MYFOX-*`; ;MYFOX
26;Atlantic; ;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
27;KizBoxMiniWMBUS; ;`^07[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;CAMERA, EN_OCEAN, HUE, INTERNAL, KNX, RAMSES, WMBUS, ZWAVE
28;KizBoxMiniIO; ;`^08[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;CAMERA, EN_OCEAN, HUE, INTERNAL, IO, KNX, MODBUS, OVP, RAMSES, SONOS, UPNP_CONTROL, ZIGBEE, ZWAVE
29;TahomaV2; ;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;BASIC;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;0,1;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
29;TahomaV2;BASIC_PLUS;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`;1,2;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
