TypeNumber;TypeName;SubTypeName;TypeRegex;SubTypeRegex;Protocols
0x2F;BouyguesImmobilierFlexomRailDIN; ;`^10[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
0x30;RexelEnergeasyConnectMiniBoxRailDIN; ;`^08[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, RAMSES, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
49;KizBoxMiniIdealRF; ;`^08[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;INTERNAL, IDEAL_RF
50;FlaktwoodsCuro; ;`^08[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;INTERNAL, MODBUS, OVP
51;ComapMiniDaughterBoardZWave; ;`^09[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;INTERNAL, SAUTER_IPC, ZWAVE
52;MyUbiwizzUbiboxRailDIN; ;`^10[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
53;ConnexoonRTS; ;`^04[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;CAMERA, EN_OCEAN, HUE, INTERNAL, KNX, RAMSES, RTD, RTDS, RTN, RTS, ZIGBEE, ZWAVE
53;ConnexoonRTS;RTS_WINDOW;`^04[0-9]{2}-[0-9]{4}-[0-9]{4}$`;0,1;CAMERA, EN_OCEAN, HUE, INTERNAL, KNX, RAMSES, RTD, RTDS, RTN, RTS, ZIGBEE, ZWAVE
53;ConnexoonRTS;RTS_ACCESS;`^04[0-9]{2}-[0-9]{4}-[0-9]{4}$`;1,2;CAMERA, EN_OCEAN, HUE, INTERNAL, KNX, RAMSES, RTD, RTDS, RTN, RTS, ZIGBEE, ZWAVE
53;ConnexoonRTS;POLARGOS_ACCESS;`^04[0-9]{2}-[0-9]{4}-[0-9]{4}$`;2,3;CAMERA, EN_OCEAN, HUE, INTERNAL, KNX, RAMSES, RTD, RTDS, RTN, RTS, ZIGBEE, ZWAVE
53;ConnexoonRTS;RTS_DEFAULT;`^04[0-9]{2}-[0-9]{4}-[0-9]{4}$`;3,4;CAMERA, EN_OCEAN, HUE, INTERNAL, KNX, RAMSES, RTD, RTDS, RTN, RTS, ZIGBEE, ZWAVE
54;OpenDoorsLockSystem; ;`^08[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;OPENDOORS
55;KizBoxMini426Mhz; ;`^04[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;CAMERA, EN_OCEAN, HUE, INTERNAL, KNX, RAMSES, RTS, ZIGBEE, ZWAVE
56;ConnexoonRTSJapan; ;`^04[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;CAMERA, EN_OCEAN, HUE, INTERNAL, KNX, RAMSES, RTS, ZIGBEE, ZWAVE
57;RexelEnergeasyConnectV2; ;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, CAMERA, EN_OCEAN, HOME_SECURE, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
58;SomfyProtectSystem; ;`^SOMFY_PROTEXT-`; ;MYFOX
59;VaillantSystem; ;`^VAILLANT-*`; ;VAILLANT
60;MyUbiwizzUbibox; ;`^09[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;EN_OCEAN, INTERNAL
61;NetatmoCamerasSystem; ;`^NETATMO_CAMERAS-*`; ;NETATMO
62;ConnexoonRTSAustralia; ;`^04[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;CAMERA, EN_OCEAN, HUE, INTERNAL, KNX, RAMSES, RTD, RTDS, RTN, RTS, ZIGBEE, ZWAVE
0x3F;SomfyThermostatSystem; ;`^SOMFY_THERMOSTAT-`; ;SOMFY_THERMOSTAT
0x40;BoxUltraLowCostRTS; ;`^14[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;INTERNAL, RTS
65;SmartlyMiniDaughterBoardZWave; ;`^09[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;INTERNAL, ZWAVE
66;SmartlyMiniboxRailDIN; ;`^10[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, UPNP_CONTROL, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
67;TahomaBee; ;`^08[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;HUE, INTERNAL, RTN, RTS, ZIGBEE
68;NestSystem; ;`^NEST-*`; ;NEST
69;ConnexoonRTN; ;`^08[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;CAMERA, EN_OCEAN, HUE, INTERNAL, KNX, RAMSES, RTD, RTDS, RTN, RTS, ZIGBEE, ZWAVE
70;UrmetSystem; ;`^URMET-[0-9]{6}$`; ;URMET
71;ModbusWifi; ;`^14[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;INTERNAL, MODBUSLINK
72;TahomaRailDIN; ;`^10[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, EN_OCEAN, HUE, INTERNAL, IO, KNX, MODBUS, OGP, OVP, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
73;NetatmoThermostatSystem; ;`^NETATMO_THERMOSTATS-*`; ;NETATMO
74;NexityBySomfyRailDin; ;`^10[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;INTERNAL, IO, OVP, ZWAVE
75;TahomaBeecon; ;`^16[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;HUE, INTERNAL, RTS, SONOS, UPNP_CONTROL, ZIGBEE
76;Smartkiz; ;`^16[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;EN_OCEAN, HUE, INTERNAL, RTS, SONOS, UPNP_CONTROL, ZIGBEE, ZWAVE
77;EliotSystem; ;`^ELIOT-*`; ;ELIOT
78;SimuBox; ;`^12[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, KNX, MODBUSLINK, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, SAUTER_IPC, SONOS, UPNP_CONTROL, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
0x4F;MyHigginsASA; ;`^04[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;INTERNAL, RTW
80;BFTSystem; ;`^BFT-*`; ;BFT
